cnnaffinity,Smiles,h,enamine_id,enamine_searched
-6.15345,[H]c1nc([H])c(C2(c3nnc(-c4c([H])c([H])c([H])c([H])c4C(F)(F)F)s3)C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.82101,[H]C(=C1C(c2c([H])nc([H])c([H])c2[H])=NC([H])([H])C1([H])[H])c1c([H])c([H])c([H])c([H])c1F,6,,False
-5.68291,[H]c1nc([H])c(-c2nn3c([H])c([H])n(N([H])C(=O)C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c3c2[H])c([H])c1[H],6,,False
-5.75028,[H]Oc1c([H])c([H])c([H])c([H])c1C([H])=C1C(c2c([H])nc([H])c([H])c2[H])=NC([H])([H])C1([H])[H],6,,False
-5.21687,[H]c1nc([H])c(-n2nc(C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c2=O)c([H])c1[H],6,,False
-5.52517,[H]c1nc(-c2c([H])nc([H])c([H])c2[H])c(N2C([H])([H])C([H])([H])N(c3nc([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])nc1[H],6,,False
-4.82982,[H]c1nc([H])c([S@@](=O)c2c([H])c([H])c([H])c([H])c2C(F)(F)F)c([H])c1[H],6,,False
-5.48018,[H]OC([H])([H])C1([H])C([H])([H])C([H])([H])N(c2c(-c3c([H])nc([H])c([H])c3[H])nc3sc([H])c([H])n23)C([H])([H])C1([H])[H],6,,False
-5.31192,[H]Oc1c([H])c(Cl)c([H])c([H])c1Oc1c([H])c([H])c([H])n1C([H])([H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.15218,[H]c1nc([H])c(-n2nnnc2Oc2c([H])c([H])c([H])c([H])c2C(F)(F)F)c([H])c1[H],6,,False
-5.3866,[H]c1nc([H])c(-c2nc3n(c2C([H])([H])N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])S3)c([H])c1[H],6,,False
-5.27928,[H]C(=C1C(c2c([H])nc([H])c([H])c2[H])=NC([H])([H])C1([H])[H])c1c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c1[H],6,,False
-5.34699,[H]c1nc([H])c(-c2oc(S(=O)(=O)c3c([H])c([H])c(Cl)c([H])c3[H])c([H])c(=O)c2[H])c([H])c1[H],6,,False
-5.54579,[H]c1nc([H])c(-c2nn3c([H])c([H])n(OC([H])([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c3c2[H])c([H])c1[H],6,,False
-5.17083,[H]C(=C1C(N([H])C([H])([H])c2sc([H])c([H])c2[H])=NC([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
