cnnaffinity,Smiles,h,enamine_id,enamine_searched
-5.8425,[H]c1nc([H])c(S(=O)(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)c([H])c1[H],6,,False
-4.74788,[H]c1nc([H])c(SC(=S)C([H])([H])c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])c([H])c1[H],6,,False
-5.1185,[H]c1nc([H])c(C(=S)N([H])C([H])([H])c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])c([H])c1[H],6,,False
-4.87911,[H]c1nc([H])c(C(=O)N([H])C([H])([H])c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])c([H])c1[H],6,,False
-4.91833,[H]c1nc([H])c(-c2nnc([H])n2C([H])([H])c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])c([H])c1[H],6,,False
-5.2731,[H]c1nc(-c2c([H])nc([H])c([H])c2[H])c(N2C([H])([H])C([H])([H])N(c3nc([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])o1,6,,False
-6.02196,[H]c1nc([H])c(-c2c([H])nc([H])c([H])c2[H])c(C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)n1,6,,False
-5.58801,[H]c1nc([H])c(C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)c(-c2c([H])nc([H])c([H])c2[H])n1,6,,False
-4.2852,[H]O[C@@]([H])(c1c([H])nc([H])c([H])c1[H])N([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1Cl,6,,False
-5.2426,[H]c1nc([H])c(Oc2c([H])nn([H])c2C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)c([H])c1[H],6,,False
-4.98516,[H]c1nc([H])c(-c2c(C([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)nc([H])n2[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-c2c([H])c([H])nn2C([H])([H])c2c([H])c([H])c([H])c([H])c2OC([H])([H])[H])c([H])c1[H],6,,False
-5.03385,[H]c1nc([H])c(C([H])([H])n2nnnc2-c2c([H])nc([H])c(F)c2[H])c([H])c1[H],6,,False
-5.00432,[H]c1nc([H])c(N=NC([H])([H])c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])c([H])c1[H],6,,False
-4.75186,[H]c1nc([H])c([C@@]([H])(C(=O)N([H])C([H])([H])c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])C([H])([H])[H])c([H])c1[H],6,,False
-5.0033,[H]c1nc([H])c(-c2snc([H])c2-c2c([H])c([H])c([H])c(Cl)c2[H])c([H])c1[H],6,,False
-5.21599,[H]c1nc([H])c(N2C([H])([H])C([H])([H])C([H])(C([H])([H])c3c([H])c([H])c(C(F)(F)F)c([H])c3[H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.98664,[H]c1nc([H])c(N=C(N([H])[H])N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)c([H])c1[H],6,,False
-5.37908,[H]c1nc([H])c(-c2nc([H])c([H])n2C([H])([H])c2c([H])c([H])c([H])c([H])c2C(F)(F)F)c([H])c1[H],6,,False
-4.98901,[H]c1nc([H])c(-n2c(-c3c([H])nc([H])c(F)c3[H])nc([H])c2[H])c([H])c1[H],6,,False
-5.01483,[H]c1nc([H])c(-c2noc([H])c2-c2c([H])c([H])c([H])c(Cl)c2[H])c([H])c1[H],6,,False
-5.37144,[H]c1nc([H])c(-n2nc(C([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)c([H])c2[H])c([H])c1[H],6,,False
-5.44429,[H]c1nc([H])c(N2N=C(C([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)C([H])([H])C2=O)c([H])c1[H],6,,False
-5.09772,[H]c1nc([H])c(N2N=C(C([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.06495,[H]c1nc(N2C([H])([H])C([H])([H])N(c3onc(-c4c([H])nc([H])c([H])c4[H])c3[H])C([H])([H])C2([H])[H])c([H])c([H])c1[H],6,,False
-5.70175,[H]c1nc([H])c(-c2c([H])c([H])c(C([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)c(=O)n2[H])c([H])c1[H],6,,False
-5.04231,[H]c1nc([H])c(-c2c([H])c([H])nn2C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)c([H])c1[H],6,,False
-5.73745,[H]c1nc([H])c(C([H])([H])n2nnnc2C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)c([H])c1[H],6,,False
-5.17922,[H]c1nc([H])c(N(C(=O)N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)C([H])([H])[H])c([H])c1[H],6,,False
-4.76248,[H]c1nc([H])c(-c2nnnn2C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)c([H])c1[H],6,,False
-4.82189,[H]c1nc([H])c(-c2c([H])c([H])c([H])c(Cl)c2[H])c(-c2c([H])nc([H])c([H])c2[H])n1,6,,False
-5.39306,[H]c1nc([H])c(-c2nc(C([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)c([H])o2)c([H])c1[H],6,,False
-4.8333,[H]c1nc([H])c(C2(C(=O)N([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.01317,[H]c1nc([H])c(C([H])([H])n2c([H])nnc2-c2c([H])nc([H])c(F)c2[H])c([H])c1[H],6,,False
-4.76694,[H]c1nc([H])c(-c2c([H])c([H])c(=O)n([H])c2-c2c([H])c([H])c([H])c(Cl)c2[H])c([H])c1[H],6,,False
-5.08977,[H]c1nc([H])c(-n2c([H])nc([H])c2-c2c([H])c([H])c([H])c(Cl)c2[H])c([H])c1[H],6,,False
-4.87964,[H]c1nc([H])c([C@@]([H])(C(=O)N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)C([H])([H])[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-c2nnc([H])n2C([H])([H])c2c([H])c([H])c([H])c([H])c2OC([H])([H])[H])c([H])c1[H],6,,False
-4.20714,[H]c1nc(-c2c([H])nc([H])c([H])c2[H])c(SC([H])([H])[H])o1,6,,False
-5.14179,[H]c1nc([H])c(-c2noc([H])c2-c2c([H])nc([H])c(F)c2[H])c([H])c1[H],6,,False
-5.66335,[H]c1nc([H])c(-n2nc(C([H])([H])c3c([H])c([H])c(C(F)(F)F)c([H])c3[H])c([H])c([H])c2=O)c([H])c1[H],6,,False
-5.65887,[H]c1nc([H])c(-n2c([H])c(-c3c([H])c([H])c([H])c(Cl)c3[H])n([H])c2=S)c([H])c1[H],6,,False
-4.9674,[H]c1nc([H])c(C([H])([H])n2nc([H])c([H])c2-c2c([H])c([H])c([H])c(Cl)c2[H])c([H])c1[H],6,,False
-5.00209,[H]c1nc([H])c(-c2nnnn2C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2Cl)c([H])c1[H],6,,False
-5.5713,[H]c1nc([H])c(-c2c([H])nnc(C([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)c2[H])c([H])c1[H],6,,False
