cnnaffinity,Smiles,h,enamine_id,enamine_searched
-5.99592,[H]c1nc([H])c(-n2c([H])c(-c3c([H])c([H])c([H])c(OC(F)(F)F)c3[H])n([H])c2=S)c([H])c1[H],6,,False
-5.08059,[H]c1nc(N2C([H])([H])C([H])([H])N(c3nnc(C4(c5c([H])nc([H])c([H])c5[H])C([H])([H])C4([H])[H])o3)C([H])([H])C2([H])[H])c([H])c([H])c1[H],6,,False
-5.60678,[H]c1nc(N2C([H])([H])C([H])([H])N(C3(N([H])c4c([H])nc([H])c([H])c4[H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1[H],6,,False
-4.49333,[H]c1nc([H])c([C@]2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.26104,[H]c1nc([H])c(-c2c([H])nc([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c2[H])c([H])c1[H],6,,False
-5.10664,[H]c1nc([H])c(-c2nc(N([H])C(=O)N([H])c3c([H])c([H])c([H])c([H])c3[H])sc2[H])c([H])c1[H],6,,False
-4.7908,[H]c1nc([H])n(-c2nc([H])c(-c3c([H])nc([H])c([H])c3[H])nc2[H])n1,6,,False
-5.58832,[H]c1nc([H])c(-n2c([H])c(-c3c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c3[H])n([H])c2=S)c([H])c1[H],6,,False
-4.8615,[H]c1nc([H])c(-c2nnc([H])c(N([H])C3([H])C([H])([H])C3([H])[H])c2[H])c([H])c1[H],6,,False
-4.48426,[H]c1nc([H])n(-c2nc(-c3c([H])nc([H])c([H])c3[H])c(=O)n([H])c2[H])n1,6,,False
-5.17289,[H]OC(=O)c1c(C([H])([H])C(=O)N([H])C2(c3c([H])nc([H])c([H])c3[H])C([H])([H])C2([H])[H])c(C([H])([H])[H])nn1[H],6,,False
-4.79974,[H]c1nc(N2C([H])([H])C([H])([H])N(C([H])([H])C3(c4c([H])nc([H])c([H])c4[H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1[H],6,,False
-4.94416,[H]O[C@@]([H])(c1c([H])nc([H])c([H])c1[H])C1(C([H])([H])N([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C1([H])[H],6,,False
-3.99224,[H]c1nc([H])c([C@]2(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.82507,[H]c1nc([H])c(-n2c([H])c([H])c([H])c2C([H])([H])C2([H])C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.39461,[H]c1nc([H])c(-c2nn3c([H])c([H])n(-c4nc([H])c(C(F)(F)F)c([H])c4[H])c3c2[H])c([H])c1[H],6,,False
-5.40865,[H]c1nc(N2C([H])([H])C([H])([H])N(c3nn(-c4c([H])nc([H])c([H])c4[H])c(=O)c([H])c3[H])C([H])([H])C2([H])[H])c([H])c([H])c1[H],6,,False
-5.59919,[H]c1nc([H])c(-c2c([H])n(-c3nc([H])c(C(F)(F)F)c([H])c3[H])c(=S)n2[H])c([H])c1[H],6,,False
-4.11795,[H]C([H])=C([H])C([H])([H])C([H])([H])[C@@]1(c2c([H])nc([H])c([H])c2[H])C([H])([H])N([H])C([H])([H])C1([H])[H],6,,False
-5.43641,[H]c1nc([H])c(Oc2nnnn2-c2nc([H])c(C(F)(F)F)c([H])c2[H])c([H])c1[H],6,,False
-4.36352,[H]c1nc([H])c(N(N([H])C(=O)N([H])C2([H])C([H])([H])C2([H])[H])C([H])([H])[H])c([H])c1[H],6,,False
-5.0259,[H]C([H])=C([H])C([H])([H])c1c([H])nc([H])c(-c2c([H])nc([H])c([H])c2[H])c1[H],6,,False
-5.09928,[H]c1nc(N([H])c2nc(-c3c([H])nc([H])c([H])c3[H])c([H])o2)sc1[H],6,,False
-4.78193,[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1(c2c([H])nc([H])c([H])c2[H])C([H])([H])N([H])C([H])([H])C1([H])[H],6,,False
-4.65354,[H]c1nc([H])c(C([H])([H])N([H])c2c([H])nc([H])c(F)c2[H])c([H])c1[H],6,,False
-4.66474,[H]c1nc([H])c(-c2snnc2C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.48435,[H]c1nc([H])c([C@]2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.68669,[H]c1nc([H])c(C2(C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.7715,[H]c1nc([H])c(-c2c([H])nn([H])c2N([H])c2c([H])c([H])c([H])c([H])c2C(=O)N([H])[H])c([H])c1[H],6,,False
-4.6731,[H]c1nc([H])c(C2(C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.2393,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1(c2c([H])nc([H])c([H])c2[H])C([H])([H])N([H])C([H])([H])C1([H])[H],6,,False
-4.6219,[H]c1nc([H])c(C2(C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.99779,[H]c1nc([H])c(-n2c(N([H])c3c([H])c([H])c([H])c([H])c3C(=O)N([H])[H])nn([H])c2=O)c([H])c1[H],6,,False
-4.89209,[H]OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(c2nc(-c3c([H])nc([H])c([H])c3[H])c([H])c([H])c2[H])C([H])([H])C1([H])[H],6,,False
-5.10483,[H]OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(c2nn(-c3c([H])nc([H])c([H])c3[H])c(=O)c([H])c2[H])C([H])([H])C1([H])[H],6,,False
-5.02827,[H]c1nc([H])c(-c2nc(=O)n([H])c(N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c2[H])c([H])c1[H],6,,False
-5.37169,[H]c1nc([H])c(-c2nnc([H])c(-c3c(F)c([H])c([H])c([H])c3F)c2[H])c([H])c1[H],6,,False
-4.72198,[H]c1nc([H])c(C2(N([H])C3=NC([H])([H])C([H])([H])N3[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.95237,[H]C(=C1C(c2c([H])nc([H])c([H])c2[H])=NC([H])([H])C1([H])[H])c1c(F)c([H])c([H])c([H])c1F,6,,False
