cnnaffinity,Smiles,h,enamine_id,enamine_searched
-5.00067,[H]c1nc([H])c(-c2nc(-c3oc4c([H])c([H])c([H])c([H])c4c3[H])c(=O)n([H])c2[H])c([H])c1[H],6,,False
-5.3047,[H]c1nc([H])c(-n2c(=O)c(-c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])c([H])n2[H])c([H])c1[H],6,,False
-5.54445,[H]c1nc([H])c(-c2nn3c(C([H])([H])C([H])([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])nnc3s2)c([H])c1[H],6,,False
-5.32976,[H]c1nc([H])c(-n2c([H])c(C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])C([H])([H])[H])c([H])c([H])c2=O)c([H])c1[H],6,,False
-5.01853,[H]c1nc([H])c(C2=NC([H])([H])C([H])([H])N2c2c([H])c3c([H])c([H])c([H])c([H])c3n2[H])c([H])c1[H],6,,False
-5.19278,[H]c1nc([H])c([C@]([H])(C(=O)Oc2c([H])c(Cl)c([H])c(Cl)c2[H])C([H])([H])[H])c([H])c1[H],6,,False
-5.22487,[H]c1nc([H])c(N([H])S(=O)(=O)C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.50114,[H]c1nc([H])c(-c2nnc([H])c(N([H])c3c([H])c([H])c(Cl)c([H])c3[H])c2[H])c([H])c1[H],6,,False
-5.39385,[H]c1nc([H])c(-c2nn3c(c2-c2c([H])nn(C([H])([H])[H])c2[H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
-5.27735,[H]c1nc([H])c(-c2nn3c(N([H])C([H])([H])c4c([H])nc([H])c([H])c4[H])c([H])nc3s2)c([H])c1[H],6,,False
-4.91144,[H]c1nc([H])c(S(=O)(=O)C(c2c([H])c([H])c([H])c3c2c([H])c([H])n3[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,,False
-5.2757,[H]c1nc([H])c(-c2c([H])nc3sc(-c4c([H])c([H])c([H])c([N+](=O)[O-])c4[H])nn23)c([H])c1[H],6,,False
-5.32214,[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])c1c(-c2c([H])nc([H])c([H])c2[H])sc([H])c1[H],6,,False
-5.19951,[H]c1nc([H])c(N([H])C(=O)C(F)(F)c2c([H])c([H])c([H])c3c2c([H])c([H])n3[H])c([H])c1[H],6,,False
-5.45792,[H]c1nc([H])c(-c2nn3c(c2-c2c([H])c([H])c(N([H])[H])c([H])c2[H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
-5.42005,[H]c1nc([H])c(-c2nn3c(c2-c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
-5.2853,[H]c1nc([H])c(-c2c(N([H])c3c([H])c([H])c(F)c([H])c3[H])c([H])nn2[H])c([H])c1[H],6,,False
-5.27341,[H]c1nc([H])c(-c2nn(-c3nc4c([H])c([H])c([H])c([H])c4c([H])c3[H])c(=O)c([H])c2[H])c([H])c1[H],6,,False
-4.64813,[H]c1nc([H])c(C(=O)[C@@]([H])(c2oc3c([H])c([H])c([H])c([H])c3c2[H])C([H])([H])[H])c([H])c1[H],6,,False
-4.96939,[H]c1nc([H])c(C2(C([H])([H])N3C([H])([H])C([H])([H])[C@]4([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[C@]34[H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.67667,[H]c1nc([H])c([C@]([H])(C(=O)c2oc3c([H])c([H])c([H])c([H])c3c2[H])C([H])([H])[H])c([H])c1[H],6,,False
-5.6452,[H]c1nc([H])c(-c2nc3sc([H])c([H])n3c2N([H])c2c([H])c([H])c(Cl)c([H])c2[H])c([H])c1[H],6,,False
-5.16771,[H]c1nc([H])c(-c2nn3c(N([H])C([H])([H])C4([H])C([H])([H])C4([H])[H])c([H])nc3s2)c([H])c1[H],6,,False
-4.85821,[H]c1nc([H])c(-c2noc([H])c2C([H])([H])c2c([H])c([H])c3c([H])c([H])c([H])c([H])c3c2[H])c([H])c1[H],6,,False
-5.28578,FC(F)(F)c1c(c(nc(c1c1nc(c2c(c(c(nc2[H])[H])[H])[H])no1)[H])[H])[H],6,PV-003615187777,False
-5.5161,[H]c1nc([H])c(-c2nc(-c3c([H])nnc([H])c3[H])c([H])n([H])c2=O)c([H])c1[H],6,,False
-5.32425,[H]c1nc([H])c([C@@]2([H])C([H])([H])c3nn([H])c(-c4c([H])nc([H])c([H])c4[H])c3C2([H])[H])o1,6,,False
-5.03421,[H]C(=C1C(c2c([H])nc([H])c([H])c2[H])=NC([H])([H])C1([H])[H])C([H])([H])c1nc([H])n([H])c1[H],6,,False
-5.19331,[H]c1nc([H])c(-c2nn3c([H])c([H])n(OC([H])([H])C([H])([H])N4C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])c3c2[H])c([H])c1[H],6,,False
-5.09567,[H]c1nc([H])c(-c2nn(-c3c([H])n([H])c4c([H])c([H])c([H])c([H])c34)c(=O)c([H])c2[H])c([H])c1[H],6,,False
-5.13066,[H]c1nc([H])c(-n2nnnc2Oc2c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c2[H])c([H])c1[H],6,,False
