cnnaffinity,Smiles,h,enamine_id,enamine_searched
-5.82955,[H]c1nc([H])c(-c2nc3sc([H])c(-c4c([H])nc(C(F)(F)F)c([H])c4[H])n3n2)c([H])c1[H],6,,False
-5.37067,[H]c1nc([H])c(-n2c([H])c(-c3c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])n([H])c2=O)c([H])c1[H],6,,False
-5.89026,[H]Oc1c([H])c(O[H])c([H])c(-n2c([H])c(-c3c([H])nc([H])c([H])c3[H])c([H])c([H])c2=O)c1[H],6,,False
-5.23412,[H]c1nc([H])c([C@@]2([H])C([H])([H])c3nn([H])c(-c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4[H])c3C2([H])[H])c([H])c1[H],6,,False
-5.62449,[H]c1nc([H])c(-n2c([H])c(-c3nc4c([H])c([H])c([H])c([H])c4s3)n([H])c2=O)c([H])c1[H],6,,False
-5.68413,[H]c1nc([H])c(-n2c([H])c([H])n3nc(-c4nc5c([H])c([H])c([H])c([H])c5s4)c([H])c23)c([H])c1[H],6,,False
-5.48458,[H]c1nc(-n2nc(-c3c([H])nc([H])c([H])c3[H])c(=O)c([H])c2[H])nc(C(F)(F)F)c1[H],6,,False
-5.77834,[H]c1nc([H])c(-c2nn3c(c2-c2nc4c([H])c([H])c([H])c([H])c4s2)C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
-5.2885,[H]c1nc([H])c(-c2nc3sc([H])c([H])n3c2N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.12387,[H]C1=C(c2c([H])nc([H])c([H])c2[H])N([H])C(=S)N([H])[C@@]1([H])Oc1c([H])c([H])c(F)c([H])c1[H],6,,False
-5.70332,[H]c1nc([H])c(-c2nc3sc([H])c(-c4c([H])c([H])c5c(c4[H])OC([H])([H])C([H])([H])O5)n3n2)c([H])c1[H],6,,False
