cnnaffinity,Smiles,h,enamine_id,enamine_searched
-5.69518,[H]c1nc([H])c(-c2nc3n(c2C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])S3)c([H])c1[H],6,,False
-5.36947,[H]c1nc([H])c(-c2nc3sc([H])c([H])n3c2-c2c([H])c([H])c([H])c(C([H])([H])N([H])[H])c2[H])c([H])c1[H],6,,False
-5.47332,[H]c1nc([H])c(-c2nc3n(c2C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])S3)c([H])c1[H],6,,False
-4.93096,[H]C(=C1C(c2c([H])c([H])c([H])c(C([H])([H])N([H])[H])c2[H])=NC([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.51402,[H]c1nc([H])c(-c2nc3sc([H])c([H])n3c2C(=O)N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.44099,C(c1c(nc(N2C(C(C([C@](C(S[H])([H])[H])(C2([H])[H])[H])([H])[H])([H])[H])([H])[H])nc1c1c(c(c(nc1[H])[H])[H])[H])[H])([H])([H])[H],6,Z5444127434,False
-5.49641,C(c1c(nc(N2C(C(C(C(C(F)([H])[H])(C2([H])[H])[H])([H])[H])([H])[H])([H])[H])nc1c1c(c(c(nc1[H])[H])[H])[H])[H])([H])([H])[H],6,Z4229387757,False
-5.39028,C(c1c(nc(N2C(C(C(C(OC(F)(F)[H])(C2([H])[H])[H])([H])[H])([H])[H])([H])[H])nc1c1c(c(c(nc1[H])[H])[H])[H])[H])([H])([H])[H],6,Z4226727894,False
-6.15917,[H]c1nc([H])c(-c2c3c(nn2[H])C([H])([H])[C@]([H])(c2sc4c([H])c([H])c([H])c([H])c4c2[H])C3([H])[H])c([H])c1[H],6,,False
-5.40818,[H]C(=C1C(c2c([H])nnc([H])c2[H])=NC([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.57954,[H]c1nc([H])c(-c2c3c(nn2[H])C([H])([H])[C@]([H])(c2nc(C([H])([H])[H])c([H])c([H])c2[H])C3([H])[H])c([H])c1[H],6,,False
-5.97842,[H]c1nc([H])c(-c2nc3sc([H])c([H])n3c2-c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,,False
-4.987,[H]c1nc([H])c(N2C(=O)C([H])([H])[C@@]([H])(c3c([H])c([H])c4c([H])c([H])n([H])c4c3[H])C2=O)c([H])c1[H],6,,False
-5.61971,[H]C(=C1C(c2c([H])c([H])c(Cl)c(Cl)c2[H])=NC([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.87825,[H]c1nc([H])c(-c2nc3sc([H])c([H])n3c2-c2c([H])c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c2[H])c([H])c1[H],6,,False
-5.601,[H]c1nc([H])c(-c2nc3sc([H])c([H])n3c2C(=O)c2oc([H])c([H])c2[H])c([H])c1[H],6,,False
-5.83606,[H]c1nc([H])c(-c2nc3sc([H])c([H])n3c2-c2c([H])c(F)c([H])c(F)c2[H])c([H])c1[H],6,,False
-5.96454,[H]C(=C1C(c2nc(C(F)(F)F)c([H])c([H])c2[H])=NC([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.49203,[H]c1nc([H])c(-c2nc3n(c2[C@@]([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])C([H])([H])C([H])([H])S3)c([H])c1[H],6,,False
-5.49306,[H]c1nc([H])c(-c2nn3c(c2-c2c([H])c([H])c([H])c(OC([H])([H])[H])c2[H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],6,,False
-5.82063,[H]c1nc([H])c(-c2nc3sc([H])c(C([H])([H])C([H])([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])n3n2)c([H])c1[H],6,,False
-5.43732,[H]C(=C1C(c2c([H])c([H])c([H])c(Br)c2[H])=NC([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.98765,[H]c1nc([H])c(-c2nc3sc([H])c([H])n3c2N(C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],6,,False
-5.38965,[H]c1nc(N([H])n2c([H])c(-c3c([H])nc([H])c([H])c3[H])n([H])c2=S)sc1[H],6,,False
-5.16421,[H]c1nc([H])c(-c2oc(-c3c([H])c([H])c(Br)c([H])c3[H])c([H])c(=O)c2[H])c([H])c1[H],6,,False
-5.79769,[H]c1nc(N([H])[H])nc([C@@]2([H])C([H])([H])c3nn([H])c(-c4c([H])nc([H])c([H])c4[H])c3C2([H])[H])c1[H],6,,False
-5.68928,[H]c1nc([H])c(-c2nc3n(c2N2C([H])([H])c4c([H])c([H])c([H])c([H])c4C([H])([H])C2([H])[H])C([H])([H])C([H])([H])S3)c([H])c1[H],6,,False
-5.3828,[H]C(=C1C(c2c([H])c([H])c(F)c(F)c2[H])=NC([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.6472,[H]c1nc([H])c(-c2nc3sc([H])c([H])n3c2-c2c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c2[H])c([H])c1[H],6,,False
-5.81248,[H]c1nc([H])c(-c2nc3sc([H])c([H])n3c2-c2c([H])c([H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c2[H])c([H])c1[H],6,,False
-5.22841,[H]c1nc([H])c(-c2nc([H])n([H])c2N2C([H])([H])c3c([H])c([H])c([H])c([H])c3C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.56209,[H]C(=C1C(c2c([H])c([H])c([H])c([H])c2C(F)(F)F)=NC([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
