cnnaffinity,Smiles,h,enamine_id,enamine_searched
-5.66741,[H]c1nc([H])c(-c2c(N([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])nn2[H])c([H])c1[H],6,,False
-5.06675,[H]Oc1c([H])c([H])c(-c2nc(-c3c([H])nc([H])c([H])c3[H])c([H])nc2[H])c([H])c1O[H],6,,False
-5.31336,[H]c1nc([H])c(-c2c(C([H])([H])N(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[H])c([H])nn2[H])c([H])c1[H],6,,False
-5.37925,[H]c1nc([H])c(C2(Oc3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.64529,[H]c1nc([H])c(-c2c(C([H])([H])c3c([H])nc([H])c4c([H])c([H])c([H])c([H])c34)c([H])nn2[H])c([H])c1[H],6,,False
-5.68433,[H]c1nc([H])c(-c2nn3c([H])c([H])n(C([H])([H])c4c([H])c([H])c([H])c(Cl)c4[H])c3c2[H])c([H])c1[H],6,,False
-4.97316,[H]c1nc(N(N([H])c2c([H])nc([H])c([H])c2[H])C([H])([H])[H])nc(C(F)(F)F)c1[H],6,,False
-5.65724,[H]c1nc([H])c(-c2nc(-c3c([H])c([H])c([H])c(OC(F)(F)F)c3[H])c([H])n([H])c2=O)c([H])c1[H],6,,False
-5.47913,[H]c1nc([H])c(-c2nnnn2C([H])([H])c2c([H])nc([H])c3c([H])c([H])c([H])c([H])c23)c([H])c1[H],6,,False
-5.25411,[H]C1=C(C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])[H])C([H])([H])C([H])([H])N(c2c([H])nc([H])c([H])c2[H])C1=O,6,,False
-5.5089,[H]c1nc([H])c(-c2nc(-c3c([H])nc([H])c4c([H])c([H])c([H])c([H])c34)c([H])s2)c([H])c1[H],6,,False
-5.02669,[H]c1nc([H])c(-c2nn([H])c(=O)n2-c2oc3c([H])c([H])c([H])c([H])c3c2[H])c([H])c1[H],6,,False
-5.77203,[H]c1nc([H])c(-c2c(C([H])([H])c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)c([H])nn2[H])c([H])c1[H],6,,False
-5.38777,[H]c1nc([H])c(N2N=C(C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])C([H])([H])[H])C([H])([H])C([H])([H])C2=O)c([H])c1[H],6,,False
-4.63197,[H]c1nc([H])c(-c2nc(=O)n([H])c(I)c2[H])c([H])c1[H],6,,False
