cnnaffinity,Smiles,h,enamine_id,enamine_searched
-4.83488,[H]C(=NC(=O)N([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.22206,[H]c1nc([H])c(-c2nc([H])c([H])n2C([H])([H])C([H])([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])c([H])c1[H],6,,False
-5.38779,[H]c1nc([H])c(-n2c([H])c(-c3c([H])c([H])c([H])c([H])c3F)n([H])c2=O)c([H])c1[H],6,,False
-5.94086,[H]c1nc([H])c(-c2nn3c([H])c([H])n(C([H])([H])c4c([H])c([H])c(C(F)(F)F)c([H])c4[H])c3c2[H])c([H])c1[H],6,,False
-5.59918,[H]c1nc([H])c(-c2nn3c(-c4c([H])nc([H])c5c([H])c([H])c([H])c([H])c45)c([H])nc3s2)c([H])c1[H],6,,False
-5.24684,[H]c1nc([H])c(-c2nc([H])n([H])c2C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.69139,[H]c1nc([H])c(-c2nn3c([H])c([H])n(C([H])([H])c4c([H])nc([H])c([H])c4[H])c3c2[H])c([H])c1[H],6,,False
-4.64287,[H]c1nc([H])c(-c2nn3c([H])c([H])n(N([H])[H])c3c2[H])c([H])c1[H],6,,False
-4.92011,[H]C1=C(c2c([H])nc([H])c([H])c2[H])N([H])C(=S)N([H])[C@@]1([H])N([H])c1nc([H])c([H])c([H])c1[H],6,,False
-5.13065,[H]c1nc([H])c(-c2nnc([H])n2C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.43856,[H]C(=C1C(OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])=NC([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.62073,[H]C(=C1C(c2c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c23)=NC([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-4.96868,[H]Oc1c([H])c([H])c(C([H])([H])n2c([H])nnc2-c2c([H])nc([H])c([H])c2[H])c([H])c1O[H],6,,False
-4.95983,[H]c1nc([H])c(-c2nn3c([H])c([H])n(N([H])C([H])([H])c4c([H])c([H])nc([H])c4[H])c3c2[H])c([H])c1[H],6,,False
-5.6253,[H]c1nc([H])c(-c2nnc([H])n2C([H])([H])c2c([H])c([H])c([H])c([H])c2C(F)(F)F)c([H])c1[H],6,,False
-6.21139,[H]C(=C1C(c2c([H])nc([H])c([H])c2[H])=NC([H])([H])C1([H])[H])c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12,6,,False
