cnnaffinity,Smiles,h,enamine_id,enamine_searched
-5.39683,[H]c1nc([H])c(-c2sc(-c3c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c3[H])c([H])c(=O)c2[H])c([H])c1[H],6,,False
-5.16882,[H]c1nc([H])c(-n2c([H])nnc2C([H])([H])N([H])C(=S)N([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],6,,False
-4.82238,N(C(=[N+](C(c1c(c(c(nc1[H])[H])[H])[H])([H])[H])[H])N(c1c(c(c(c(OC(F)(F)F)c1[H])[H])[H])[H])[H])([H])[H],6,PV-004332328645,False
-4.84626,Brc1c(c(c(C(n2nc(c(c2c2c(c(c(nc2[H])[H])[H])[H])[H])[H])([H])[H])c(c1[H])[H])[H])[H],6,Z1021080462,False
-4.95667,[H]c1nc([H])c(Oc2c([H])nn([H])c2N2C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-5.11972,[H]c1nc([H])c(-n2c([H])nnc2C([H])([H])N([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],6,,False
-5.57682,[H]c1nc([H])c(-c2sc(-c3c([H])c([H])c([H])c(OC(F)(F)F)c3[H])c([H])c(=O)c2[H])c([H])c1[H],6,,False
-5.47496,[H]C1=C(c2c([H])nc([H])c([H])c2[H])N([H])C(=S)N([H])[C@@]1([H])Oc1c([H])c([H])c([H])c(Cl)c1[H],6,,False
-5.50643,[H]c1nc([H])c(-c2c([H])n(-c3nc4c([H])c([H])c([H])c([H])c4c([H])c3[H])c(=S)n2[H])c([H])c1[H],6,,False
-4.65633,Brc1c(c(c(N(C(c2c(n(nc2c2c(c(c(nc2[H])[H])[H])[H])[H])[H])([H])[H])[H])c(c1[H])[H])[H])[H],6,Z751928300,False
-4.95143,[H]c1nc([H])c(-n2c([H])nnc2C([H])([H])N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,,False
-5.0986,[H]Oc1c([H])c([H])c([H])c([H])c1-c1c([H])n(-c2c([H])nc([H])c([H])c2[H])c(=O)n1[H],6,,False
-5.52898,[H]Oc1c([H])c([H])c([H])c([H])c1-n1c([H])c(-c2c([H])nc([H])c([H])c2[H])n([H])c1=S,6,,False
-5.19072,[H]c1nc([H])c(S(=O)(=O)C(N2C([H])([H])c3c([H])c([H])c([H])c([H])c3C([H])([H])C2([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,,False
-5.16182,[H]C(=C(Br)N1C([H])([H])c2c([H])c([H])c([H])c([H])c2C([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-5.02493,[H]c1nc([H])c(-n2c([H])nnc2-c2c([H])c([H])c([H])c3c2c([H])c([H])n3[H])c([H])c1[H],6,,False
-5.34109,[H]c1nc([H])c(-n2c([H])c(-c3c([H])c([H])c([H])c4c3c([H])c([H])n4[H])n([H])c2=O)c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c([H])nnc2C([H])([H])c2c([H])c([H])c([H])c3c2c([H])c([H])n3[H])c([H])c1[H],6,,False
-5.5709,[H]c1nc([H])c(-c2sc(-c3c([H])c([H])c([H])c4c3c([H])c([H])n4[H])c([H])c(=O)c2[H])c([H])c1[H],6,,False
-4.82456,[H]c1nc([H])c(-n2c([H])nnc2C([H])([H])N([H])C(=O)c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,,False
-4.99452,[H]c1nc([H])c(N2C([H])([H])C([H])(C(=O)N([H])C(=O)c3c([H])c([H])nc([H])c3[H])C2([H])[H])c([H])c1[H],6,,False
-4.64172,[H]c1nc([H])c(C(=O)N([H])C([H])([H])c2c([H])c([H])c(Br)c([H])c2[H])c([H])c1[H],6,,False
-4.98456,[H]c1nc([H])c(-n2c([H])nnc2C([H])([H])N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c1[H],6,,False
-5.13168,[H]c1nc([H])c(-c2c([H])nc([H])c(-c3c([H])c([H])c(Br)c([H])c3[H])c2[H])c([H])c1[H],6,,False
-5.18461,[H]c1nc([H])c(-c2c([H])c([H])c(Br)c([H])c2[H])nc1-c1c([H])nc([H])c([H])c1[H],6,,False
-4.87187,[H]c1nc([H])c(C(C(=O)N([H])c2c([H])c([H])c(Br)c([H])c2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,,False
-5.09363,[H]c1nc([H])c(-c2nc(-c3c([H])c([H])c(Br)c([H])c3[H])c([H])n([H])c2=O)c([H])c1[H],6,,False
-4.84613,[H]c1nc([H])c(-c2c([H])c([H])nn2C([H])([H])c2c([H])c([H])c(Br)c([H])c2[H])c([H])c1[H],6,,False
-4.88827,[H]c1nc([H])c(N2C([H])([H])C([H])(C(=O)N([H])C(=O)c3oc([H])c([H])c3[H])C2([H])[H])c([H])c1[H],6,,False
-5.57683,[H]c1nc([H])c(-c2c([H])n(-c3c([H])c([H])c(Br)c([H])c3[H])c(=S)n2[H])c([H])c1[H],6,,False
0.0,[H]c1nc([H])c(-n2c([H])nnc2C([H])([H])c2c([H])c([H])c(Br)c([H])c2[H])c([H])c1[H],6,,False
-5.17131,[H]c1nc([H])c(-c2sc(-c3c([H])c([H])c(Br)c([H])c3[H])c([H])c(=O)c2[H])c([H])c1[H],6,,False
-4.97647,[H]c1nc([H])c(-c2nnsc2-c2c([H])c([H])c(Br)c([H])c2[H])c([H])c1[H],6,,False
-4.90595,[H]c1nc([H])c(-c2c([H])nsc2-c2c([H])c([H])c(Br)c([H])c2[H])c([H])c1[H],6,,False
-4.93409,[H]c1nc([H])c(-c2c([H])nnc(-c3c([H])c([H])c(Br)c([H])c3[H])c2[H])c([H])c1[H],6,,False
-4.82238,N(C(=[N+](C(c1c(c(c(nc1[H])[H])[H])[H])([H])[H])[H])N(c1c(c(c(c(OC(F)(F)F)c1[H])[H])[H])[H])[H])([H])[H],6,Z2518788890,False
-4.70893,[H]C(=C([H])N1C([H])([H])c2c([H])c([H])c([H])c([H])c2C([H])([H])C1([H])[H])c1c([H])nc([H])c([H])c1[H],6,,False
-4.27846,[H]C(=C(Br)c1c([H])nc([H])c([H])c1[H])c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],6,,False
-4.28702,[H]C(=C(Br)c1c([H])nc([H])c([H])c1[H])c1c([H])c([H])c([H])c(Cl)c1[H],6,,False
-4.65075,[H]c1nc([H])c(C(C(=O)N([H])c2c([H])c([H])c3c([H])c([H])n([H])c3c2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],6,,False
-5.06966,[H]c1nc([H])c(-n2nc(N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c([H])c2=O)c([H])c1[H],6,,False
-4.81357,[H]c1nc(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])n(-c2c([H])nc([H])c([H])c2[H])n1,6,,False
-5.40633,[H]c1nc(-c2c([H])n(-c3c([H])nc([H])c([H])c3[H])c(=O)n2[H])nc(C(F)(F)F)c1[H],6,,False
-5.15345,[H]c1nc([H])c(Oc2c([H])nn([H])c2N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],6,,False
-4.83744,[H]C(=C(Br)c1c([H])nc([H])c([H])c1[H])c1c([H])c([H])c(Br)c([H])c1[H],6,,False
-4.96344,[H]c1nc([H])c(-c2c([H])sc3nc(C4([H])C([H])([H])C4([H])[H])nn23)c([H])c1[H],6,,False
-5.59919,[H]c1nc([H])c(-c2c([H])n(-c3nc([H])c(C(F)(F)F)c([H])c3[H])c(=S)n2[H])c([H])c1[H],6,,False
